Column1,Ligand_name,SMILES
1,idarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
2,bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O 
3,teniposide,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O
4,camptothecin,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
5,JMS-053,C1=CC=C(C=C1)C2=CC3=C(S2)C(=N)C(=O)NC3=O
6,etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
7,azt,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
8,naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O 
9,indoxyl sulfate,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O
10,ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
11,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
12,oxyphenbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
13,CMPF,CCCC1=C(C(=C(O1)CCC(=O)O)C(=O)O)C
14,azapropazone,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C
15,diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
16,warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
17,testmol1,Cc1cccc(c1n2c(cc(c2C)/C=N\NC(=O)C(=O)Nc3ccc(cc3)[N+](=O)[O-])C)C
18,testmol2,C[C@H]1CCCC[NH+]1CC#CC(c2ccccc2)(c3ccccc3)O
19,testmol3,Cc1ccc(cc1C)OCCOc2c(cc(cc2I)/C=N/n3cnnc3)OC
20,testmol4,c1ccc(c(c1)C#N)Sc2ccccc2C(=O)OCC(=O)Nc3ccc4c(c3)OCCO4
21,testmol5,COc1cccc(c1)NC(=O)c2cccnc2
22,testmol6,CN=C=O
23,testmol7,O=Cc1ccc(O)c(OC)c1
24,testmol8,COc1cc(C=O)ccc1O
25,testmol9,CC(=O)NCCC1=CNc2c1cc(OC)cc2
26,testmol10,CC(=O)NCCc1c[nH]c2ccc(OC)cc12
27,testmol11,CCc(c1)ccc2[n+]1ccc3c2[nH]c4c3cccc4
28,testmol12,CCc1c[n+]2ccc3c4ccccc4[nH]c3c2cc1
29,testmol13,CN1CCC[C@H]1c2cccnc2
30,testmol14,CCC[C@@H](O)CC\C=C\C=C\C#CC#C\C=C\CO
31,testmol15,CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C
32,testmol16,O1C=C[C@H]([C@H]1O2)c3c2cc(OC)c4c3OC(=O)C5=C4CCC(=O)5
33,testmol17,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1
34,testmol18,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H]2[C@@H]1c3c(O)c(OC)c(O)cc3C(=O)O2
35,testmol19,CC(=O)OCCC(/C)=C\C[C@H](C(C)=C)CCC=C
36,testmol20,CC[C@H](O1)CC[C@@]12CCCO2
37,testmol21,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
38,testmol22,OCCc1c(C)[n+](cs1)Cc2cnc(C)nc2N
39,testmol53,CC(C)C(C(C(=O)O)O)C(=O)O
40,testmol23,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
41,testmol24,c1ccc(c(c1)O)O
42,testmol25,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
43,testmol26,C1=CC(C(C(=C1)C(=O)O)O)O
44,testmol27,CC(CN)O
45,testmol28,C(C(=O)COP(=O)(O)O)N
46,testmol29,CCn1cnc2c1ncnc2N
47,testmol30,CCC(C)(C(C(=O)O)O)O
48,testmol31,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
49,testmol32,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)N(CC2CNc3c(c(=O)nc([nH]3)N)N2)C=O
50,testmol33,c1c(cc(c(c1O)O)O)O
51,testmol34,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
52,testmol35,C1CCC(=O)NCCCCCC(=O)NCC1
53,testmol36,C1C=CC(=NC1C(=O)O)C(=O)O
54,testmol37,C(C(C(C(=O)C(=O)C(=O)O)O)O)O
55,testmol38,c1cc(c(c(c1)O)O)C(=O)O
56,testmol39,c1cc(c(c(c1)O)O)CCC(=O)O
57,testmol40,CCC(C(=O)C)(C(=O)O)O
58,testmol41,CC(=O)C(C)(C(=O)O)O
59,testmol42,C(=C/C(=C(\C(=O)O)/N)/C(=O)O)\C=O
60,testmol43,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
61,testmol44,C(C(C(C1C(N(c2c(c(=O)[nH]c(n2)N)N1)O)O)O)O)O
62,testmol45,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
63,testmol46,C(C(C(C1=Nc2c([nH]c(nc2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
64,testmol47,C(=CC(=O)O)C=C(C(=O)O)N
65,testmol48,C(=O)C(C(=O)O)N
66,testmol49,C(=CC=O)C=C(C(=O)O)N
67,testmol50,CC(CO)(C(COP(=O)(O)O)O)O
68,testmol51,C(=CC(=O)O)C=C(C(=O)O)C(=O)O
69,testmol52,C1=CC(OC1=O)(CC(=O)O)Cl
70,testmol53,C(C(C(CO)O)O)C(=O)C(=O)O
71,testmol54,CC(C)(CO)C(=O)C(=O)O
72,testmol55,CC1(COC(=O)C1=O)C
73,testmol56,C1C(C(C(OC1O)CO)O)O
74,testmol57,CSCCC(=O)/C(=C/OP(=O)(O)O)/O
75,testmol58,C(CC(=O)O)C(=O)/C=C/C=C(/C(=O)O)\O
76,testmol59,C(CC(=O)O)C(C(=O)O)O
77,testmol60,C(C(=O)[O-])(C(=O)[O-])O
78,testmol61,C(C(=O)O)(C(=O)O)O
79,testmol62,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
80,testmol63,CCC(C)C(=O)C(=O)O
81,testmol64,C(CC(=O)N)C(=O)C(=O)O
82,testmol65,CC(C)C(=O)C(=O)O
83,testmol66,C(C(C(C(C(=O)C(=O)O)O)O)O)O
84,testmol67,C(CC(=O)O)C(=O)C(=O)O
85,testmol68,CCC(CC)(C(=O)NC(=O)N)Br
86,testmol67,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCc1cccc(c1O)O)C)C)C)C)C)C)C)C
87,testmol68,CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCc1cccc(c1O)OC)C)C)C)C)C)C)C
88,testmol69,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCc1ccccc1O)C)C)C)C)C)C)C)C
89,testmol70,CCC(=O)C(=O)O
90,testmol71,C(C(C(=O)O)OP(=O)(O)O)O
91,testmol72,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
92,testmol73,C1=C(C(C=C(C1O)Cl)Cl)Cl
93,testmol74,CC(CC(C(=O)O)N)N
94,testmol75,C1=C(C(C=C(C1O)Cl)O)Cl
95,testmol76,c1c(c(cc(c1Cl)O)Cl)O
96,testmol77,c1cc(c(cc1Cl)O)Cl
97,testmol78,C(C(=O)C(C(C(=O)C(=O)O)O)O)O
98,testmol79,CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
99,testmol80,CC(=O)C=CC=C(C(=O)O)O
100,testmol81,CC(C)CC(=O)C(=O)O
101,idarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
102,bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O 
103,teniposide,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O
104,camptothecin,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
105,JMS-053,C1=CC=C(C=C1)C2=CC3=C(S2)C(=N)C(=O)NC3=O
106,etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
107,azt,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
108,naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O 
109,indoxyl sulfate,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O
110,ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
111,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
112,oxyphenbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
113,CMPF,CCCC1=C(C(=C(O1)CCC(=O)O)C(=O)O)C
114,azapropazone,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C
115,diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
116,warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
117,testmol1,Cc1cccc(c1n2c(cc(c2C)/C=N\NC(=O)C(=O)Nc3ccc(cc3)[N+](=O)[O-])C)C
118,testmol2,C[C@H]1CCCC[NH+]1CC#CC(c2ccccc2)(c3ccccc3)O
119,testmol3,Cc1ccc(cc1C)OCCOc2c(cc(cc2I)/C=N/n3cnnc3)OC
120,testmol4,c1ccc(c(c1)C#N)Sc2ccccc2C(=O)OCC(=O)Nc3ccc4c(c3)OCCO4
121,testmol5,COc1cccc(c1)NC(=O)c2cccnc2
122,testmol6,CN=C=O
123,testmol7,O=Cc1ccc(O)c(OC)c1
124,testmol8,COc1cc(C=O)ccc1O
125,testmol9,CC(=O)NCCC1=CNc2c1cc(OC)cc2
126,testmol10,CC(=O)NCCc1c[nH]c2ccc(OC)cc12
127,testmol11,CCc(c1)ccc2[n+]1ccc3c2[nH]c4c3cccc4
128,testmol12,CCc1c[n+]2ccc3c4ccccc4[nH]c3c2cc1
129,testmol13,CN1CCC[C@H]1c2cccnc2
130,testmol14,CCC[C@@H](O)CC\C=C\C=C\C#CC#C\C=C\CO
131,testmol15,CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C
132,testmol16,O1C=C[C@H]([C@H]1O2)c3c2cc(OC)c4c3OC(=O)C5=C4CCC(=O)5
133,testmol17,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1
134,testmol18,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H]2[C@@H]1c3c(O)c(OC)c(O)cc3C(=O)O2
135,testmol19,CC(=O)OCCC(/C)=C\C[C@H](C(C)=C)CCC=C
136,testmol20,CC[C@H](O1)CC[C@@]12CCCO2
137,testmol21,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
138,testmol22,OCCc1c(C)[n+](cs1)Cc2cnc(C)nc2N
139,testmol53,CC(C)C(C(C(=O)O)O)C(=O)O
140,testmol23,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
141,testmol24,c1ccc(c(c1)O)O
142,testmol25,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
143,testmol26,C1=CC(C(C(=C1)C(=O)O)O)O
144,testmol27,CC(CN)O
145,testmol28,C(C(=O)COP(=O)(O)O)N
146,testmol29,CCn1cnc2c1ncnc2N
147,testmol30,CCC(C)(C(C(=O)O)O)O
148,testmol31,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
